"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 28 05:17:28 UTC 2023","Wed Jun 28 05:17:38 UTC 2023","9310","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Wed Jun 28 05:17:26 UTC 2023","Wed Jun 28 05:17:56 UTC 2023","30977","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"skipped","Wed Jun 28 04:34:10 UTC 2023","Wed Jun 28 04:34:10 UTC 2023","6","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Wed Jun 28 05:08:42 UTC 2023","Wed Jun 28 05:08:44 UTC 2023","2813","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Wed Jun 28 04:23:36 UTC 2023","Wed Jun 28 04:24:25 UTC 2023","48563","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Wed Jun 28 04:23:33 UTC 2023","Wed Jun 28 04:23:37 UTC 2023","3821","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Wed Jun 28 04:49:37 UTC 2023","Wed Jun 28 04:49:38 UTC 2023","1656","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Jun 28 04:48:18 UTC 2023","Wed Jun 28 04:48:20 UTC 2023","2161","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Wed Jun 28 05:17:59 UTC 2023","Wed Jun 28 05:18:06 UTC 2023","7090","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed Jun 28 04:44:49 UTC 2023","Wed Jun 28 04:45:06 UTC 2023","17199","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Wed Jun 28 04:34:10 UTC 2023","Wed Jun 28 04:34:32 UTC 2023","21447","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Wed Jun 28 05:09:17 UTC 2023","Wed Jun 28 05:09:18 UTC 2023","1721","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Jun 28 04:38:35 UTC 2023","Wed Jun 28 04:38:43 UTC 2023","8691","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Wed Jun 28 04:25:50 UTC 2023","Wed Jun 28 04:25:51 UTC 2023","795","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Wed Jun 28 05:17:04 UTC 2023","Wed Jun 28 05:17:23 UTC 2023","18812","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Wed Jun 28 04:29:17 UTC 2023","Wed Jun 28 04:29:28 UTC 2023","11344","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Wed Jun 28 04:23:39 UTC 2023","Wed Jun 28 04:24:00 UTC 2023","20961","","9. Client Portal - Home","","","","1. Check links",""
"passed","Wed Jun 28 04:23:52 UTC 2023","Wed Jun 28 04:24:14 UTC 2023","21782","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Jun 28 04:23:48 UTC 2023","Wed Jun 28 04:23:53 UTC 2023","4522","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Wed Jun 28 04:42:40 UTC 2023","Wed Jun 28 04:42:59 UTC 2023","19123","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Wed Jun 28 04:47:45 UTC 2023","Wed Jun 28 04:48:18 UTC 2023","32251","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Wed Jun 28 04:53:44 UTC 2023","Wed Jun 28 04:53:55 UTC 2023","10682","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Wed Jun 28 04:42:43 UTC 2023","Wed Jun 28 04:43:20 UTC 2023","36619","","17.2 Create Test User on Live Portal","","","","6. Create a new user for Macro business",""
"passed","Wed Jun 28 05:19:21 UTC 2023","Wed Jun 28 05:19:25 UTC 2023","4011","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Jun 28 05:07:56 UTC 2023","Wed Jun 28 05:08:17 UTC 2023","21265","","6. Company Account","","","","1. Validate login credentials",""
"passed","Wed Jun 28 05:09:01 UTC 2023","Wed Jun 28 05:09:04 UTC 2023","3178","","6. Company Account","","","","6. Review Review Page",""
"passed","Wed Jun 28 05:19:25 UTC 2023","Wed Jun 28 05:20:35 UTC 2023","70109","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Wed Jun 28 04:58:35 UTC 2023","Wed Jun 28 04:59:37 UTC 2023","61837","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Wed Jun 28 04:24:11 UTC 2023","Wed Jun 28 04:24:21 UTC 2023","10409","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Wed Jun 28 05:04:44 UTC 2023","Wed Jun 28 05:05:04 UTC 2023","20489","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Jun 28 05:17:42 UTC 2023","Wed Jun 28 05:17:43 UTC 2023","626","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Wed Jun 28 04:43:23 UTC 2023","Wed Jun 28 04:43:47 UTC 2023","23812","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Jun 28 05:20:35 UTC 2023","Wed Jun 28 05:20:38 UTC 2023","3237","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Wed Jun 28 04:50:24 UTC 2023","Wed Jun 28 04:50:26 UTC 2023","2527","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Wed Jun 28 05:18:03 UTC 2023","Wed Jun 28 05:18:08 UTC 2023","5447","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Jun 28 04:54:49 UTC 2023","Wed Jun 28 04:54:55 UTC 2023","6182","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Wed Jun 28 04:43:58 UTC 2023","Wed Jun 28 04:44:03 UTC 2023","5485","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Jun 28 04:28:32 UTC 2023","Wed Jun 28 04:28:33 UTC 2023","324","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Wed Jun 28 04:53:27 UTC 2023","Wed Jun 28 04:53:44 UTC 2023","17428","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Wed Jun 28 05:18:08 UTC 2023","Wed Jun 28 05:19:15 UTC 2023","66454","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Wed Jun 28 05:11:51 UTC 2023","Wed Jun 28 05:12:11 UTC 2023","19427","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Wed Jun 28 04:49:38 UTC 2023","Wed Jun 28 04:49:51 UTC 2023","12271","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Wed Jun 28 04:25:21 UTC 2023","Wed Jun 28 04:25:46 UTC 2023","24956","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Wed Jun 28 04:24:21 UTC 2023","Wed Jun 28 04:24:23 UTC 2023","1978","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Wed Jun 28 04:49:51 UTC 2023","Wed Jun 28 04:50:23 UTC 2023","32612","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Wed Jun 28 04:47:32 UTC 2023","Wed Jun 28 04:47:32 UTC 2023","533","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Wed Jun 28 04:23:43 UTC 2023","Wed Jun 28 04:23:46 UTC 2023","2922","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Wed Jun 28 05:12:11 UTC 2023","Wed Jun 28 05:12:21 UTC 2023","10345","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Wed Jun 28 04:44:39 UTC 2023","Wed Jun 28 04:44:48 UTC 2023","9048","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Jun 28 05:20:01 UTC 2023","Wed Jun 28 05:20:26 UTC 2023","25087","","21. Forgot password function","","","","2. Reset password",""
"passed","Wed Jun 28 05:17:57 UTC 2023","Wed Jun 28 05:17:59 UTC 2023","2474","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Wed Jun 28 04:54:42 UTC 2023","Wed Jun 28 04:54:49 UTC 2023","7057","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Wed Jun 28 05:15:08 UTC 2023","Wed Jun 28 05:15:24 UTC 2023","15483","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Jun 28 05:07:16 UTC 2023","Wed Jun 28 05:07:19 UTC 2023","2334","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Jun 28 04:58:15 UTC 2023","Wed Jun 28 04:58:21 UTC 2023","6575","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Wed Jun 28 05:07:40 UTC 2023","Wed Jun 28 05:07:41 UTC 2023","627","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Wed Jun 28 04:38:44 UTC 2023","Wed Jun 28 04:39:36 UTC 2023","52115","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Wed Jun 28 05:17:38 UTC 2023","Wed Jun 28 05:17:41 UTC 2023","3382","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Wed Jun 28 05:05:08 UTC 2023","Wed Jun 28 05:05:52 UTC 2023","44243","","17.1 Create Test User on Live Portal","","","","5. Create a new user for Walk The World",""
"passed","Wed Jun 28 04:47:27 UTC 2023","Wed Jun 28 04:47:31 UTC 2023","4900","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Wed Jun 28 04:24:14 UTC 2023","Wed Jun 28 04:24:23 UTC 2023","9471","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Wed Jun 28 05:15:24 UTC 2023","Wed Jun 28 05:15:36 UTC 2023","11727","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Wed Jun 28 05:05:39 UTC 2023","Wed Jun 28 05:05:48 UTC 2023","8655","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Jun 28 05:07:19 UTC 2023","Wed Jun 28 05:07:37 UTC 2023","17853","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Wed Jun 28 05:15:36 UTC 2023","Wed Jun 28 05:15:39 UTC 2023","3533","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Jun 28 04:35:09 UTC 2023","Wed Jun 28 04:35:19 UTC 2023","10961","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Wed Jun 28 04:37:14 UTC 2023","Wed Jun 28 04:37:18 UTC 2023","4492","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Wed Jun 28 04:28:33 UTC 2023","Wed Jun 28 04:28:45 UTC 2023","12328","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Wed Jun 28 05:14:32 UTC 2023","Wed Jun 28 05:15:08 UTC 2023","35350","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Wed Jun 28 04:25:46 UTC 2023","Wed Jun 28 04:25:50 UTC 2023","3371","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Jun 28 04:24:24 UTC 2023","Wed Jun 28 04:24:27 UTC 2023","3776","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Jun 28 04:29:13 UTC 2023","Wed Jun 28 04:29:16 UTC 2023","2817","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Wed Jun 28 05:08:27 UTC 2023","Wed Jun 28 05:08:30 UTC 2023","3355","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Wed Jun 28 04:35:59 UTC 2023","Wed Jun 28 04:36:35 UTC 2023","35899","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Wed Jun 28 05:05:11 UTC 2023","Wed Jun 28 05:05:15 UTC 2023","3592","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Jun 28 04:23:37 UTC 2023","Wed Jun 28 04:23:40 UTC 2023","2893","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Wed Jun 28 05:09:19 UTC 2023","Wed Jun 28 05:09:19 UTC 2023","569","","6. Company Account","","","","9. Review Final Review",""
"passed","Wed Jun 28 04:47:41 UTC 2023","Wed Jun 28 04:47:44 UTC 2023","3201","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Jun 28 04:47:32 UTC 2023","Wed Jun 28 04:47:46 UTC 2023","13678","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Wed Jun 28 05:15:39 UTC 2023","Wed Jun 28 05:16:06 UTC 2023","26810","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Jun 28 05:19:16 UTC 2023","Wed Jun 28 05:19:21 UTC 2023","4536","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Wed Jun 28 04:34:00 UTC 2023","Wed Jun 28 04:34:00 UTC 2023","63","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Wed Jun 28 04:54:00 UTC 2023","Wed Jun 28 04:54:42 UTC 2023","42319","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Wed Jun 28 04:56:45 UTC 2023","Wed Jun 28 04:58:14 UTC 2023","89437","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Wed Jun 28 04:25:18 UTC 2023","Wed Jun 28 04:25:21 UTC 2023","2737","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Jun 28 04:44:03 UTC 2023","Wed Jun 28 04:44:39 UTC 2023","35752","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Jun 28 04:24:27 UTC 2023","Wed Jun 28 04:24:51 UTC 2023","23357","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Wed Jun 28 05:18:06 UTC 2023","Wed Jun 28 05:18:08 UTC 2023","1973","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Wed Jun 28 05:05:04 UTC 2023","Wed Jun 28 05:05:11 UTC 2023","6825","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Wed Jun 28 04:23:16 UTC 2023","Wed Jun 28 04:23:57 UTC 2023","40945","","17.0 Create Test User on Live Portal","","","","1. Create a new user on Live Portal",""
"passed","Wed Jun 28 05:16:06 UTC 2023","Wed Jun 28 05:16:14 UTC 2023","7301","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Jun 28 04:43:47 UTC 2023","Wed Jun 28 04:43:58 UTC 2023","10460","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Wed Jun 28 04:47:25 UTC 2023","Wed Jun 28 04:47:40 UTC 2023","15821","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Wed Jun 28 04:34:00 UTC 2023","Wed Jun 28 04:34:10 UTC 2023","10543","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Wed Jun 28 05:08:30 UTC 2023","Wed Jun 28 05:08:42 UTC 2023","11574","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Wed Jun 28 04:56:41 UTC 2023","Wed Jun 28 04:56:45 UTC 2023","3301","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Wed Jun 28 04:24:18 UTC 2023","Wed Jun 28 04:24:55 UTC 2023","37886","","17.0 Create Test User on Live Portal","","","","3. Subscribe user via Investment Suitability Calculator",""
"passed","Wed Jun 28 05:07:37 UTC 2023","Wed Jun 28 05:07:40 UTC 2023","3387","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Jun 28 04:53:55 UTC 2023","Wed Jun 28 04:53:55 UTC 2023","42","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Wed Jun 28 04:24:51 UTC 2023","Wed Jun 28 04:24:55 UTC 2023","4253","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Jun 28 04:23:46 UTC 2023","Wed Jun 28 04:23:48 UTC 2023","2493","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Wed Jun 28 05:08:17 UTC 2023","Wed Jun 28 05:08:27 UTC 2023","9551","","6. Company Account","","","","2. Create a Company Account",""
"passed","Wed Jun 28 04:23:19 UTC 2023","Wed Jun 28 04:23:33 UTC 2023","13791","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Wed Jun 28 05:19:43 UTC 2023","Wed Jun 28 05:20:01 UTC 2023","18223","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Wed Jun 28 05:17:28 UTC 2023","Wed Jun 28 05:17:28 UTC 2023","199","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Wed Jun 28 04:29:28 UTC 2023","Wed Jun 28 04:29:29 UTC 2023","754","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Wed Jun 28 04:47:44 UTC 2023","Wed Jun 28 04:47:45 UTC 2023","1248","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Jun 28 04:33:39 UTC 2023","Wed Jun 28 04:33:59 UTC 2023","20473","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Jun 28 04:42:59 UTC 2023","Wed Jun 28 04:47:13 UTC 2023","254406","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Wed Jun 28 04:35:46 UTC 2023","Wed Jun 28 04:35:59 UTC 2023","13132","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Wed Jun 28 04:34:32 UTC 2023","Wed Jun 28 04:35:08 UTC 2023","36612","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Wed Jun 28 04:28:13 UTC 2023","Wed Jun 28 04:28:32 UTC 2023","18536","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Wed Jun 28 04:28:46 UTC 2023","Wed Jun 28 04:29:13 UTC 2023","27467","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Wed Jun 28 04:53:55 UTC 2023","Wed Jun 28 04:54:00 UTC 2023","4300","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Wed Jun 28 05:12:24 UTC 2023","Wed Jun 28 05:12:29 UTC 2023","4447","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Wed Jun 28 05:17:23 UTC 2023","Wed Jun 28 05:17:28 UTC 2023","5555","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Wed Jun 28 05:12:21 UTC 2023","Wed Jun 28 05:12:24 UTC 2023","2660","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Wed Jun 28 04:59:37 UTC 2023","Wed Jun 28 05:00:42 UTC 2023","65315","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Wed Jun 28 04:29:16 UTC 2023","Wed Jun 28 04:29:17 UTC 2023","1127","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Wed Jun 28 04:23:53 UTC 2023","Wed Jun 28 04:24:11 UTC 2023","17879","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Wed Jun 28 04:58:21 UTC 2023","Wed Jun 28 04:58:31 UTC 2023","10077","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Wed Jun 28 04:49:16 UTC 2023","Wed Jun 28 04:49:33 UTC 2023","16715","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Wed Jun 28 05:09:04 UTC 2023","Wed Jun 28 05:09:17 UTC 2023","12728","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Wed Jun 28 04:24:56 UTC 2023","Wed Jun 28 04:25:22 UTC 2023","26362","","17.0 Create Test User on Live Portal","","","","4. Subscribe user via Suitability Calculator",""
"passed","Wed Jun 28 05:17:41 UTC 2023","Wed Jun 28 05:17:42 UTC 2023","1022","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Wed Jun 28 04:47:46 UTC 2023","Wed Jun 28 04:47:47 UTC 2023","1169","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Jun 28 04:58:32 UTC 2023","Wed Jun 28 04:58:35 UTC 2023","3117","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Wed Jun 28 04:35:20 UTC 2023","Wed Jun 28 04:35:46 UTC 2023","26323","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Wed Jun 28 04:38:14 UTC 2023","Wed Jun 28 04:38:35 UTC 2023","21035","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Wed Jun 28 05:05:15 UTC 2023","Wed Jun 28 05:05:39 UTC 2023","24175","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Jun 28 04:23:40 UTC 2023","Wed Jun 28 04:23:43 UTC 2023","3019","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Wed Jun 28 04:23:57 UTC 2023","Wed Jun 28 04:24:17 UTC 2023","20691","","17.0 Create Test User on Live Portal","","","","2. Subscribe to Nucleus Wealth mailing list",""
"passed","Wed Jun 28 05:19:15 UTC 2023","Wed Jun 28 05:19:16 UTC 2023","1357","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Wed Jun 28 04:48:20 UTC 2023","Wed Jun 28 04:48:58 UTC 2023","37467","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Wed Jun 28 04:49:33 UTC 2023","Wed Jun 28 04:49:36 UTC 2023","3040","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
